,evals,X,fX
0,0,[-0.15621291 -0.51070875  0.30226361  0.80702268],[-4.33970414]
1,1,[ 0.52160434  0.14259934 -0.4598804  -0.17387192],[-2.97159572]
2,2,[ 0.80656063  0.61403159 -0.95415555 -0.83826274],[174.57714984]
3,3,[-0.63183163  0.98157142 -0.83778457 -0.96318328],[169.1062056]
4,4,[ 0.98986289  0.99737392 -0.90501544 -0.82880185],[313.83186707]
5,5,[ 0.83478646  0.97320661  0.55496554 -0.99911423],[182.08475137]
6,6,[ 0.64829747  0.1923343  -0.17464092  0.39828168],[-6.48280478]
7,7,[ 0.90773024  0.98809233 -0.40238765 -0.9424761 ],[231.20789209]
8,8,[ 0.97523084  0.98088168 -0.80452584 -0.57432806],[187.01512137]
9,9,[-0.97188607  0.80794987  0.95057292 -0.84185219],[239.63161186]
10,10,[-0.52854641 -0.54191128  0.9901292  -0.96304733],[91.01364366]
11,11,[-0.37250385  0.9587609   0.96812157 -0.16985969],[53.75610779]
12,12,[-0.79444566  0.78764731  0.25160018 -0.9048614 ],[42.78353907]
13,13,[-0.00130089  0.97341526 -0.95671021 -0.84196979],[138.0306454]
14,14,[ 0.81456256 -0.16497391  0.73241385 -0.93089185],[24.68863248]
15,15,[-0.95673339 -0.39921928 -0.9763121  -0.77364305],[113.84803798]
16,16,[-0.99503688  0.8908435  -0.9881796   0.32307932],[159.01961286]
17,17,[-0.897324   -0.1056044  -0.91780678  0.59794236],[39.83921922]
18,18,[ 0.94236802  0.92516138 -0.79118249 -0.96935897],[264.98842479]
19,19,[-0.97740606 -0.01879044  0.79255442 -0.53000256],[20.26640384]
20,20,[ 0.31095261 -0.95668107 -0.96159586 -0.7333034 ],[138.88207836]
21,21,[ 0.89891546 -0.96081488 -0.945389    0.49447354],[232.42699198]
22,22,[ 0.82858169 -0.99708706 -0.65508477 -0.05102049],[73.20991584]
23,23,[ 0.43829875 -0.84557775 -0.99987608  0.73160973],[202.1545485]
24,24,[ 0.93590572 -0.90066307 -0.76387704  0.89309631],[222.60807633]
25,25,[ 0.6966077  -0.36436228 -0.97375883  0.96708994],[128.06938611]
26,26,[-0.6496701  -0.92952909 -0.10050401 -0.89145996],[26.30511047]
27,27,[-0.69557565  0.56353672 -0.93393523 -0.34143496],[5.14516824]
28,28,[-0.15501099  0.88282927  0.87285065 -0.9642849 ],[159.8791645]
29,29,[-0.87104169  0.90801246 -0.54171981  0.93504674],[173.91057219]
30,30,[-0.14633346  0.75968531 -0.91929696  0.97706519],[121.80105907]
31,31,[-0.48539096 -0.97617609 -0.88330285 -0.13891619],[65.76430647]
32,32,[ 0.97470329 -0.85954695  0.91932006  0.80963182],[174.88267923]
33,33,[ 0.89261377 -0.91861248  0.07615037  0.7779522 ],[40.69082697]
34,34,[ 0.88618196 -0.01991764  0.98419797  0.69871318],[35.88096267]
35,35,[ 0.55155448 -0.95025237  0.91827388 -0.0693027 ],[51.59046203]
36,36,[-0.78143251  0.67072436  0.74480468  0.94436112],[128.61580233]
37,37,[-0.02025326  0.87019471  0.20490982  0.98093207],[-0.5523431]
38,38,[ 0.73246304  0.96448096 -0.96533811 -0.89146582],[259.64746025]
39,39,[-0.8072661  -0.9537302   0.99474254  0.68925638],[298.40523197]
40,40,[-0.99047753 -0.67099796  0.93254127  0.97222569],[308.94277833]
41,41,[-0.93938299 -0.98098398  0.79912123  0.95000061],[357.84415771]
42,42,[-0.98210026 -0.92516126  0.19900725  0.59348826],[107.22395056]
43,43,[-0.73688106 -0.79446498  0.88016896  0.97882044],[240.25860448]
44,44,[-0.90627998 -0.98724637  0.94526122 -0.20715292],[183.14407701]
45,45,[ 0.85885766  0.90775797 -0.9576669   0.91968873],[318.82556566]
46,46,[ 0.89053192  0.99951311 -0.90800773  0.58983393],[200.6635886]
47,47,[ 0.98856856  0.47633551 -0.75643996  0.94765334],[120.05061197]
48,48,[-0.99114511 -0.96566206  0.90220477  0.31743019],[221.58192841]
49,49,[ 0.61225883  0.95347763 -0.74038248  0.98666426],[152.11674283]
50,50,[-0.99895736 -0.83064008  0.99973798  0.85626482],[351.58621528]
51,51,[-0.19322063 -0.25811582 -0.96703297 -0.99908705],[36.20566282]
52,52,[-0.85382388 -0.99891565 -0.4862329   0.96779133],[229.86844909]
53,53,[ 0.93506503  0.9461445  -0.9806613   0.88568269],[353.67092882]
54,54,[-0.50970891 -0.98592889 -0.85173899  0.97334723],[246.95421678]
55,55,[ 0.99070906  0.82384739  0.98378262 -0.56726268],[186.29323937]
56,56,[ 0.99979183 -0.95598809 -0.88004589 -0.79156103],[255.69009855]
57,57,[ 0.9947159  -0.58753512 -0.96692415 -0.32463783],[126.61057286]
58,58,[ 0.95167208 -0.83578135 -0.07426326 -0.95592733],[113.59052916]
59,59,[0.71955298 0.99803399 0.85130066 0.38405464],[114.29431454]
60,60,[ 0.91421838  0.98295154  0.23500795 -0.15222224],[1.32135402]
61,61,[ 0.98039728  0.03393674 -0.9619467  -0.98526893],[155.25610345]
62,62,[-0.99529927 -0.87841511 -0.90825532  0.83795593],[323.68089051]
63,63,[-0.96426104 -0.56397823 -0.83418792  0.96471662],[194.81785036]
64,64,[-0.99094804 -0.99338003  0.76700233 -0.98768095],[337.15181808]
65,65,[ 0.8440525   0.90501274 -0.99803521  0.99543671],[374.63307507]
66,66,[-0.99896221  0.97098233  0.49559977  0.31493382],[110.324866]
67,67,[-0.9817598  -0.63808297  0.86246833 -0.97836113],[198.99142837]
68,68,[ 0.12535618 -0.99629631  0.97088404  0.95691519],[215.52487103]
69,69,[0.58456007 0.99532312 0.97711384 0.99947012],[188.53015773]
70,70,[-0.96262879 -0.93014259  0.94539321  0.97263377],[390.91092504]
71,71,[-0.891067   -0.95422252 -0.94151457  0.33793758],[197.15896205]
72,72,[ 0.99751631  0.46237513  0.10792114 -0.90765355],[21.49832232]
73,73,[0.03200477 0.91190544 0.95570106 0.92287805],[139.12268237]
74,74,[-0.91076264 -0.90059147 -0.97891172  0.98119004],[404.75623885]
75,75,[-0.95089493 -0.99563918 -0.78528494  0.96986806],[389.45906416]
76,76,[ 0.96088521 -0.98701028  0.90222685 -0.90417548],[206.86059207]
77,77,[-0.06056206 -0.90967616  0.73895309 -0.978905  ],[103.34624575]
78,78,[-0.93192463  0.09342929  0.97189347  0.95315865],[189.44483898]
79,79,[-0.99461384  0.09174998  0.15826186  0.84287756],[3.63589397]
80,80,[ 0.13818634  0.98823523 -0.05365799 -0.94411807],[20.52589243]
81,81,[-0.97917677  0.56204939 -0.907579    0.94839495],[179.91506602]
82,82,[ 0.43431659  0.58192683  0.97492361 -0.98864908],[90.70062791]
83,83,[-0.91282192 -0.96455796  0.54502327 -0.61387354],[147.97279977]
84,84,[-0.92586951 -0.97829077 -0.91638077  0.9876355 ],[459.15695814]
85,85,[-0.96355542 -0.98730327 -0.91308405 -0.72708689],[186.7526102]
86,86,[0.95713611 0.93379469 0.14455485 0.90824451],[116.79086504]
87,87,[-0.37367586 -0.0406865   0.99073691  0.40820382],[4.9755892]
88,88,[-0.97884039  0.76679221  0.97755087  0.42476766],[171.00783175]
89,89,[ 0.45129722 -0.99846634 -0.43967336  0.99789822],[132.62331854]
90,90,[-0.93640345  0.98707673 -0.37753959 -0.35147377],[38.74322327]
91,91,[ 0.1365956   0.98769323 -0.98219234 -0.14237428],[71.02111549]
92,92,[-0.97838944  0.87760454 -0.99903832 -0.8957531 ],[208.07373771]
93,93,[ 0.68744942 -0.80863841 -0.98882519 -0.97170957],[198.58909534]
94,94,[-0.99392011  0.97434159  0.98936333 -0.48855138],[320.01666124]
95,95,[-0.91312917 -0.97974849  0.94609956 -0.94606439],[373.00951628]
96,96,[ 0.99174556  0.20550548  0.99956056 -0.32339516],[36.82459485]
97,97,[0.32893633 0.18684135 0.75616856 0.98642846],[-6.49487456]
98,98,[ 0.94174953  0.08239007 -0.98349512  0.11215679],[31.69175618]
99,99,[0.96559545 0.6229803  0.98290248 0.85977428],[128.83167859]
100,100,[ 0.99507014 -0.48815797  0.1788595   0.03339677],[-5.34994129]
101,101,[-0.9835702  -0.05800047 -0.28355221 -0.96104696],[0.59394489]
